tenant_id,report_month,manufacturer_code,manufacturer_display_name,hospital_code,hospital_display_name,drug_code,drug_group,drug_display_name,product_line_code,product_line_name,region_code,region_display_name,display_key,display_name_source,display_name_quality,source_raw_batch_id,updated_at
default_tenant,2025-09,43B3F24E6895475BA3EA1CD00FA74CE0,43B3F24E6895475BA3EA1CD00FA74CE0,YL006583140,YL006583140,ZA04CBH0205010303704,ZA04CBH0205010303704,ZA04CBH0205010303704,,,130000,130000,default_tenant|2025-09|43B3F24E6895475BA3EA1CD00FA74CE0|YL006583140|ZA04CBH0205010303704,master,master,current_v2_raw_input_batch,2026-07-09T06:30:52+00:00
default_tenant,2025-09,9701EFF559DF4862AF18CF0DC1B6962D,9701EFF559DF4862AF18CF0DC1B6962D,YL652503,YL652503,XA12CBP084X001010403705,XA12CBP084X001010403705,XA12CBP084X001010403705,,,650000,650000,default_tenant|2025-09|9701EFF559DF4862AF18CF0DC1B6962D|YL652503|XA12CBP084X001010403705,master,master,current_v2_raw_input_batch,2026-07-09T06:30:52+00:00
default_tenant,2025-09,43B3F24E6895475BA3EA1CD00FA74CE0,43B3F24E6895475BA3EA1CD00FA74CE0,YL6816011,YL6816011,ZA04CBH0205010303704,ZA04CBH0205010303704,ZA04CBH0205010303704,,,130000,130000,default_tenant|2025-09|43B3F24E6895475BA3EA1CD00FA74CE0|YL6816011|ZA04CBH0205010303704,master,master,current_v2_raw_input_batch,2026-07-09T06:30:52+00:00
default_tenant,2025-09,43B3F24E6895475BA3EA1CD00FA74CE0,43B3F24E6895475BA3EA1CD00FA74CE0,YL6574037,YL6574037,ZA04CBH0205010303704,ZA04CBH0205010303704,ZA04CBH0205010303704,,,130000,130000,default_tenant|2025-09|43B3F24E6895475BA3EA1CD00FA74CE0|YL6574037|ZA04CBH0205010303704,master,master,current_v2_raw_input_batch,2026-07-09T06:30:52+00:00
default_tenant,2025-09,F9BDA11C2EE443F49615B9AD6AFBD4AA,F9BDA11C2EE443F49615B9AD6AFBD4AA,YL510833,YL510833,XJ01CAA040E001010303712,XJ01CAA040E001010303712,XJ01CAA040E001010303712,,,510000,510000,default_tenant|2025-09|F9BDA11C2EE443F49615B9AD6AFBD4AA|YL510833|XJ01CAA040E001010303712,master,master,current_v2_raw_input_batch,2026-07-09T06:30:52+00:00
default_tenant,2025-09,43B3F24E6895475BA3EA1CD00FA74CE0,43B3F24E6895475BA3EA1CD00FA74CE0,YLNS00448038,YLNS00448038,ZA04CBH0205010303704,ZA04CBH0205010303704,ZA04CBH0205010303704,,,130000,130000,default_tenant|2025-09|43B3F24E6895475BA3EA1CD00FA74CE0|YLNS00448038|ZA04CBH0205010303704,master,master,current_v2_raw_input_batch,2026-07-09T06:30:52+00:00
default_tenant,2025-09,9701EFF559DF4862AF18CF0DC1B6962D,9701EFF559DF4862AF18CF0DC1B6962D,YL6571060,YL6571060,XA12CBP084X001010403705,XA12CBP084X001010403705,XA12CBP084X001010403705,,,510000,510000,default_tenant|2025-09|9701EFF559DF4862AF18CF0DC1B6962D|YL6571060|XA12CBP084X001010403705,master,master,current_v2_raw_input_batch,2026-07-09T06:30:52+00:00
default_tenant,2025-09,DFC52F4CCF384D849D053242EA2935F3,DFC52F4CCF384D849D053242EA2935F3,YLNS00434645,YLNS00434645,ZA12AAN0014010103711,ZA12AAN0014010103711,ZA12AAN0014010103711,,,370000,370000,default_tenant|2025-09|DFC52F4CCF384D849D053242EA2935F3|YLNS00434645|ZA12AAN0014010103711,master,master,current_v2_raw_input_batch,2026-07-09T06:30:52+00:00
default_tenant,2025-09,43B3F24E6895475BA3EA1CD00FA74CE0,43B3F24E6895475BA3EA1CD00FA74CE0,YL6804527,YL6804527,ZA04CBH0205010303704,ZA04CBH0205010303704,ZA04CBH0205010303704,,,650000,650000,default_tenant|2025-09|43B3F24E6895475BA3EA1CD00FA74CE0|YL6804527|ZA04CBH0205010303704,master,master,current_v2_raw_input_batch,2026-07-09T06:30:52+00:00
default_tenant,2025-09,9701EFF559DF4862AF18CF0DC1B6962D,9701EFF559DF4862AF18CF0DC1B6962D,YL363031,YL363031,e55aab9b3ee754a3580eded051caa1c2,e55aab9b3ee754a3580eded051caa1c2,e55aab9b3ee754a3580eded051caa1c2,,,360000,360000,default_tenant|2025-09|9701EFF559DF4862AF18CF0DC1B6962D|YL363031|e55aab9b3ee754a3580eded051caa1c2,master,master,current_v2_raw_input_batch,2026-07-09T06:30:52+00:00
