tenant_id,hospital_code,hospital_display_name,risk_entity_count,high_risk_count
default_tenant,YL006583140,YL006583140,3,0
default_tenant,YL006583709,YL006583709,2,0
default_tenant,YL006585206,YL006585206,2,0
default_tenant,YL006585460,YL006585460,3,0
default_tenant,YL006585533,YL006585533,2,0
default_tenant,YL130224,YL130224,1,0
default_tenant,YL130649,YL130649,3,0
default_tenant,YL131040,YL131040,3,0
default_tenant,YL131130,YL131130,1,0
default_tenant,YL131269,YL131269,1,0
default_tenant,YL131421,YL131421,1,0
default_tenant,YL131811,YL131811,3,0
default_tenant,YL131948,YL131948,2,0
default_tenant,YL132049,YL132049,1,0
default_tenant,YL132193,YL132193,3,0
default_tenant,YL132392,YL132392,1,0
default_tenant,YL132590,YL132590,1,1
default_tenant,YL132591,YL132591,1,0
default_tenant,YL132643,YL132643,2,0
default_tenant,YL133060,YL133060,3,0
default_tenant,YL133067,YL133067,3,0
default_tenant,YL133474,YL133474,3,0
default_tenant,YL133556,YL133556,1,0
default_tenant,YL134078,YL134078,3,0
default_tenant,YL134147,YL134147,1,0
default_tenant,YL134381,YL134381,1,0
default_tenant,YL134690,YL134690,3,0
default_tenant,YL134872,YL134872,3,0
default_tenant,YL134901,YL134901,3,0
default_tenant,YL135604,YL135604,2,0
default_tenant,YL135650,YL135650,3,0
default_tenant,YL135681,YL135681,3,0
default_tenant,YL135785,YL135785,1,0
default_tenant,YL135862,YL135862,2,0
default_tenant,YL136073,YL136073,3,0
default_tenant,YL136138,YL136138,3,0
default_tenant,YL136157,YL136157,1,0
default_tenant,YL136212,YL136212,3,0
default_tenant,YL136309,YL136309,1,0
default_tenant,YL136573,YL136573,2,0
default_tenant,YL136702,YL136702,1,0
default_tenant,YL136868,YL136868,3,0
default_tenant,YL136982,YL136982,1,0
default_tenant,YL137144,YL137144,3,0
default_tenant,YL137380,YL137380,2,0
default_tenant,YL137562,YL137562,3,0
default_tenant,YL137775,YL137775,1,0
default_tenant,YL137984,YL137984,3,0
default_tenant,YL140316,YL140316,1,0
default_tenant,YL141826,YL141826,3,0
default_tenant,YL142287,YL142287,3,0
default_tenant,YL150425,YL150425,1,0
default_tenant,YL150710,YL150710,3,0
default_tenant,YL151043,YL151043,3,0
default_tenant,YL151094,YL151094,3,0
default_tenant,YL151173,YL151173,3,0
default_tenant,YL151222,YL151222,3,0
default_tenant,YL151570,YL151570,3,0
default_tenant,YL151588,YL151588,3,0
default_tenant,YL151703,YL151703,1,0
default_tenant,YL151757,YL151757,1,0
default_tenant,YL151786,YL151786,3,0
default_tenant,YL151918,YL151918,1,0
default_tenant,YL152108,YL152108,1,0
default_tenant,YL152814,YL152814,3,0
default_tenant,YL152928,YL152928,3,0
default_tenant,YL153064,YL153064,3,0
default_tenant,YL153262,YL153262,3,0
default_tenant,YL153534,YL153534,3,0
default_tenant,YL153681,YL153681,3,0
default_tenant,YL153997,YL153997,3,0
default_tenant,YL210103,YL210103,2,0
default_tenant,YL210387,YL210387,3,0
default_tenant,YL210443,YL210443,1,0
default_tenant,YL210534,YL210534,1,0
default_tenant,YL210790,YL210790,3,0
default_tenant,YL211033,YL211033,2,0
default_tenant,YL211244,YL211244,2,0
default_tenant,YL2114449,YL2114449,3,0
default_tenant,YL2114639,YL2114639,3,0
default_tenant,YL2115329,YL2115329,3,0
default_tenant,YL2118138,YL2118138,1,0
default_tenant,YL212093,YL212093,2,0
default_tenant,YL212443,YL212443,1,0
default_tenant,YL212547,YL212547,1,0
default_tenant,YL212720,YL212720,3,0
default_tenant,YL212809,YL212809,1,0
