required_feature,production_dtype,missing_before,missing_after,production_imputation,implemented_in_risk_algorithm_core,parity_status,blocker_reason
months_since_last_purchase_asof_cutoff,float64,82968,82968,runtime_generated,True,available_from_raw_feature_engineering,
purchase_count_asof_cutoff,float64,0,0,runtime_generated,True,available_from_raw_feature_engineering,
active_month_count_asof_cutoff,float64,0,0,runtime_generated,True,available_from_raw_feature_engineering,
months_observed_asof_cutoff,float64,0,0,runtime_generated,True,available_from_raw_feature_engineering,
months_since_first_purchase_asof_cutoff,float64,82968,82968,runtime_generated,True,available_from_raw_feature_engineering,
order_count_last_1m_asof_cutoff,float64,82968,82968,runtime_generated,True,available_from_raw_feature_engineering,
order_count_last_3m_asof_cutoff,float64,82968,82968,runtime_generated,True,available_from_raw_feature_engineering,
order_count_last_6m_asof_cutoff,float64,82968,82968,runtime_generated,True,available_from_raw_feature_engineering,
order_count_last_12m_asof_cutoff,float64,82968,82968,runtime_generated,True,available_from_raw_feature_engineering,
active_months_last_3m_asof_cutoff,float64,82968,82968,runtime_generated,True,available_from_raw_feature_engineering,
active_months_last_6m_asof_cutoff,float64,82968,82968,runtime_generated,True,available_from_raw_feature_engineering,
active_months_last_12m_asof_cutoff,float64,82968,82968,runtime_generated,True,available_from_raw_feature_engineering,
recency_only_baseline,float64,82968,82968,runtime_generated,True,available_from_raw_feature_engineering,
frequency_decay_baseline,float64,85623,85623,runtime_generated,True,available_from_raw_feature_engineering,
active_month_ratio_asof_cutoff,float64,82968,82968,runtime_generated,True,available_from_raw_feature_engineering,
adi_asof_cutoff,float64,82968,82968,runtime_generated,True,available_from_raw_feature_engineering,
median_purchase_interval_days_asof_cutoff,float64,103140,103140,runtime_generated,True,available_from_raw_feature_engineering,
mean_purchase_interval_days_asof_cutoff,float64,103140,103140,runtime_generated,True,available_from_raw_feature_engineering,
std_purchase_interval_days_asof_cutoff,float64,117774,117774,runtime_generated,True,available_from_raw_feature_engineering,
purchase_interval_iqr_asof_cutoff,float64,103140,103140,runtime_generated,True,available_from_raw_feature_engineering,
cv2_quantity_asof_cutoff,float64,103143,103143,runtime_generated,True,available_from_raw_feature_engineering,
seasonality_strength_asof_cutoff,float64,186975,186975,runtime_generated,True,available_from_raw_feature_engineering,
burstiness_score_asof_cutoff,float64,186975,186975,runtime_generated,True,available_from_raw_feature_engineering,
interval_overdue_baseline,float64,103140,103140,runtime_generated,True,available_from_raw_feature_engineering,
hybrid_interval_frequency_score,float64,104622,104622,runtime_generated,True,available_from_raw_feature_engineering,
demand_shape_label,object,82968,82968,runtime_generated,True,available_from_raw_feature_engineering,
history_sufficiency_flag,object,0,0,runtime_generated,True,available_from_raw_feature_engineering,
demand_pattern_type_asof_cutoff,object,82968,82968,runtime_generated,True,available_from_raw_feature_engineering,
cold_start_flag,boolean,82968,82968,runtime_generated,True,available_from_raw_feature_engineering,
confidence_score,float64,82968,82968,runtime_generated,True,available_from_raw_feature_engineering,
one_shot_flag,boolean,0,0,runtime_generated,True,available_from_raw_feature_engineering,
one_shot_silence_months,float64,82968,82968,runtime_generated,True,available_from_raw_feature_engineering,
manufacturer_code,object,0,0,runtime_generated,True,available_from_raw_feature_engineering,
province_code,object,0,0,runtime_generated,True,available_from_raw_feature_engineering,
city_code,object,0,0,runtime_generated,True,available_from_raw_feature_engineering,
county_code,object,0,0,runtime_generated,True,available_from_raw_feature_engineering,
hospital_level_code,float64,82968,82968,runtime_generated,True,available_from_raw_feature_engineering,
ownership_type_code,int64,0,0,runtime_generated,True,available_from_raw_feature_engineering,
drug_group,object,0,0,runtime_generated,True,available_from_raw_feature_engineering,
drug_category_code,float64,82968,82968,runtime_generated,True,available_from_raw_feature_engineering,
last_order_phase_code_asof_cutoff,float64,82968,82968,runtime_generated,True,available_from_raw_feature_engineering,
last_delivery_state_code_asof_cutoff,float64,82968,82968,runtime_generated,True,available_from_raw_feature_engineering,
last_order_failure_flag_asof_cutoff,float64,82968,82968,runtime_generated,True,available_from_raw_feature_engineering,
failed_count_last_3m_asof_cutoff,float64,82968,82968,runtime_generated,True,available_from_raw_feature_engineering,
failed_count_last_12m_asof_cutoff,float64,82968,82968,runtime_generated,True,available_from_raw_feature_engineering,
received_count_last_3m_asof_cutoff,float64,82968,82968,runtime_generated,True,available_from_raw_feature_engineering,
received_count_last_12m_asof_cutoff,float64,82968,82968,runtime_generated,True,available_from_raw_feature_engineering,
terminal_count_last_3m_asof_cutoff,float64,82968,82968,runtime_generated,True,available_from_raw_feature_engineering,
terminal_count_last_12m_asof_cutoff,float64,82968,82968,runtime_generated,True,available_from_raw_feature_engineering,
