tenant_id,hospital_code,hospital_display_name,risk_entity_count,high_risk_count
default_tenant,YL006583709,YL006583709,3,0
default_tenant,YL006585533,YL006585533,3,0
default_tenant,YL130526,YL130526,1,0
default_tenant,YL130592,YL130592,1,0
default_tenant,YL130613,YL130613,2,0
default_tenant,YL130649,YL130649,3,0
default_tenant,YL130776,YL130776,1,0
default_tenant,YL130782,YL130782,1,0
default_tenant,YL130843,YL130843,1,0
default_tenant,YL130872,YL130872,2,0
default_tenant,YL130929,YL130929,3,0
default_tenant,YL131040,YL131040,3,0
default_tenant,YL131060,YL131060,3,0
default_tenant,YL131073,YL131073,3,0
default_tenant,YL131412,YL131412,1,0
default_tenant,YL131421,YL131421,1,0
default_tenant,YL131456,YL131456,3,0
default_tenant,YL131571,YL131571,3,0
default_tenant,YL131948,YL131948,3,0
default_tenant,YL132049,YL132049,2,0
default_tenant,YL132301,YL132301,1,0
default_tenant,YL132590,YL132590,1,1
default_tenant,YL132591,YL132591,3,0
default_tenant,YL132643,YL132643,3,0
default_tenant,YL132685,YL132685,1,0
default_tenant,YL132717,YL132717,1,0
default_tenant,YL132886,YL132886,1,0
default_tenant,YL132961,YL132961,1,0
default_tenant,YL132985,YL132985,1,0
default_tenant,YL133067,YL133067,3,0
default_tenant,YL133556,YL133556,3,0
default_tenant,YL133570,YL133570,1,0
default_tenant,YL133616,YL133616,1,0
default_tenant,YL133663,YL133663,1,0
default_tenant,YL133695,YL133695,1,0
default_tenant,YL133736,YL133736,1,0
default_tenant,YL134078,YL134078,3,0
default_tenant,YL134147,YL134147,1,0
default_tenant,YL134190,YL134190,1,0
default_tenant,YL134355,YL134355,1,0
default_tenant,YL134690,YL134690,3,0
default_tenant,YL134872,YL134872,3,0
default_tenant,YL134993,YL134993,2,0
default_tenant,YL135130,YL135130,1,0
default_tenant,YL135750,YL135750,1,0
default_tenant,YL135862,YL135862,3,0
default_tenant,YL135894,YL135894,2,0
default_tenant,YL136073,YL136073,3,0
default_tenant,YL136157,YL136157,2,0
default_tenant,YL136212,YL136212,3,0
default_tenant,YL136331,YL136331,1,0
default_tenant,YL136573,YL136573,3,0
default_tenant,YL136868,YL136868,3,0
default_tenant,YL137144,YL137144,3,0
default_tenant,YL137380,YL137380,3,0
default_tenant,YL137408,YL137408,1,0
default_tenant,YL137562,YL137562,3,0
default_tenant,YL137802,YL137802,1,0
default_tenant,YL137984,YL137984,3,0
default_tenant,YL140257,YL140257,1,0
default_tenant,YL140446,YL140446,1,0
default_tenant,YL140711,YL140711,2,0
default_tenant,YL140733,YL140733,3,0
default_tenant,YL141826,YL141826,3,0
default_tenant,YL142287,YL142287,3,0
default_tenant,YL142498,YL142498,2,0
default_tenant,YL150710,YL150710,3,0
default_tenant,YL151043,YL151043,3,0
default_tenant,YL151173,YL151173,3,0
default_tenant,YL151222,YL151222,3,0
default_tenant,YL151570,YL151570,3,0
default_tenant,YL151588,YL151588,3,0
default_tenant,YL151786,YL151786,3,0
default_tenant,YL151918,YL151918,1,0
default_tenant,YL152108,YL152108,3,0
default_tenant,YL152217,YL152217,1,0
default_tenant,YL152814,YL152814,3,0
default_tenant,YL152928,YL152928,3,0
default_tenant,YL153064,YL153064,3,0
default_tenant,YL153262,YL153262,3,0
default_tenant,YL153534,YL153534,3,0
default_tenant,YL153681,YL153681,3,0
default_tenant,YL153997,YL153997,3,0
default_tenant,YL210443,YL210443,2,0
default_tenant,YL210782,YL210782,1,0
default_tenant,YL211034,YL211034,3,0
default_tenant,YL2114449,YL2114449,3,0
default_tenant,YL212680,YL212680,3,0
default_tenant,YL212932,YL212932,2,0
default_tenant,YL213201,YL213201,3,0
default_tenant,YL213799,YL213799,1,0
default_tenant,YL214100,YL214100,1,0
default_tenant,YL214277,YL214277,3,0
default_tenant,YL214397,YL214397,2,0
default_tenant,YL220016,YL220016,1,0
default_tenant,YL220128,YL220128,1,0
default_tenant,YL220142,YL220142,1,0
default_tenant,YL220183,YL220183,3,0
default_tenant,YL220273,YL220273,1,0
default_tenant,YL220288,YL220288,3,0
default_tenant,YL220306,YL220306,2,0
default_tenant,YL220445,YL220445,1,0
default_tenant,YL220540,YL220540,1,0
default_tenant,YL220643,YL220643,1,0
default_tenant,YL220705,YL220705,3,0
default_tenant,YL220714,YL220714,1,0
default_tenant,YL220728,YL220728,1,0
default_tenant,YL220750,YL220750,1,0
default_tenant,YL220824,YL220824,1,0
