risk_entity_id,candidate_id,entity_id,report_month,horizon,risk_probability,involved_amount,involved_amount_source,risk_level,risk_band,main_reason_summary,reason,detector_evidence_count,updated_at
43B3F24E6895475BA3EA1CD00FA74CE0|YLNS00448038|ZA04CBH0205010303704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YLNS00448038|ZA04CBH0205010303704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YLNS00448038|ZA04CBH0205010303704,2025-12,H3,,0.0,purchase_amount_sum_last_3m_asof_cutoff,attention,Attention,multi_recall_union_top10|manufacturer_worklist_fill_observation,multi_recall_union_top10|manufacturer_worklist_fill_observation,0,2026-07-09T06:46:26.665486+00:00
43B3F24E6895475BA3EA1CD00FA74CE0|YLNS00448038|ZA04CBH0205010303704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YLNS00448038|ZA04CBH0205010303704|H6,43B3F24E6895475BA3EA1CD00FA74CE0|YLNS00448038|ZA04CBH0205010303704,2025-12,H6,,0.0,purchase_amount_sum_last_6m_asof_cutoff,attention,Attention,multi_recall_union_top10|manufacturer_worklist_fill_observation,multi_recall_union_top10|manufacturer_worklist_fill_observation,0,2026-07-09T06:46:26.665486+00:00
43B3F24E6895475BA3EA1CD00FA74CE0|YLNS00448038|ZA04CBH0205010303704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YLNS00448038|ZA04CBH0205010303704|H12,43B3F24E6895475BA3EA1CD00FA74CE0|YLNS00448038|ZA04CBH0205010303704,2025-12,H12,,1250.0,purchase_amount_sum_last_12m_asof_cutoff,attention,Attention,multi_recall_union_top10|manufacturer_worklist_fill_observation,multi_recall_union_top10|manufacturer_worklist_fill_observation,0,2026-07-09T06:46:26.665486+00:00
9701EFF559DF4862AF18CF0DC1B6962D|YLNS00006477|ZA01BAS0839020103705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YLNS00006477|ZA01BAS0839020103705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YLNS00006477|ZA01BAS0839020103705,2025-12,H3,,0.0,purchase_amount_sum_last_3m_asof_cutoff,attention,Attention,multi_recall_union_top10|manufacturer_worklist_fill_observation,multi_recall_union_top10|manufacturer_worklist_fill_observation,0,2026-07-09T06:46:26.665486+00:00
9701EFF559DF4862AF18CF0DC1B6962D|YLNS00006477|ZA01BAS0839020103705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YLNS00006477|ZA01BAS0839020103705|H6,9701EFF559DF4862AF18CF0DC1B6962D|YLNS00006477|ZA01BAS0839020103705,2025-12,H6,,0.0,purchase_amount_sum_last_6m_asof_cutoff,attention,Attention,multi_recall_union_top10|manufacturer_worklist_fill_observation,multi_recall_union_top10|manufacturer_worklist_fill_observation,0,2026-07-09T06:46:26.665486+00:00
9701EFF559DF4862AF18CF0DC1B6962D|YLNS00006477|ZA01BAS0839020103705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YLNS00006477|ZA01BAS0839020103705|H12,9701EFF559DF4862AF18CF0DC1B6962D|YLNS00006477|ZA01BAS0839020103705,2025-12,H12,,2550.0,purchase_amount_sum_last_12m_asof_cutoff,attention,Attention,multi_recall_union_top10|manufacturer_worklist_fill_observation,multi_recall_union_top10|manufacturer_worklist_fill_observation,0,2026-07-09T06:46:26.665486+00:00
9701EFF559DF4862AF18CF0DC1B6962D|YL6563724|ZA01BAS0839020103705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6563724|ZA01BAS0839020103705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6563724|ZA01BAS0839020103705,2025-12,H3,,0.0,purchase_amount_sum_last_3m_asof_cutoff,observation,Observation,multi_recall_union_top10|manufacturer_worklist_fill_observation,multi_recall_union_top10|manufacturer_worklist_fill_observation,0,2026-07-09T06:46:26.665486+00:00
9701EFF559DF4862AF18CF0DC1B6962D|YL6563724|ZA01BAS0839020103705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6563724|ZA01BAS0839020103705|H6,9701EFF559DF4862AF18CF0DC1B6962D|YL6563724|ZA01BAS0839020103705,2025-12,H6,,0.0,purchase_amount_sum_last_6m_asof_cutoff,observation,Observation,multi_recall_union_top10|manufacturer_worklist_fill_observation,multi_recall_union_top10|manufacturer_worklist_fill_observation,0,2026-07-09T06:46:26.665486+00:00
9701EFF559DF4862AF18CF0DC1B6962D|YL6563724|ZA01BAS0839020103705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6563724|ZA01BAS0839020103705|H12,9701EFF559DF4862AF18CF0DC1B6962D|YL6563724|ZA01BAS0839020103705,2025-12,H12,,2340.0,purchase_amount_sum_last_12m_asof_cutoff,unavailable,Data unavailable,multi_recall_union_top10|manufacturer_worklist_fill_observation,multi_recall_union_top10|manufacturer_worklist_fill_observation,0,2026-07-09T06:46:26.665486+00:00
43B3F24E6895475BA3EA1CD00FA74CE0|YL6807633|ZA04CBH0205010303704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YL6807633|ZA04CBH0205010303704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YL6807633|ZA04CBH0205010303704,2025-12,H3,,0.0,purchase_amount_sum_last_3m_asof_cutoff,attention,Attention,multi_recall_union_top10|manufacturer_worklist_fill_observation,multi_recall_union_top10|manufacturer_worklist_fill_observation,0,2026-07-09T06:46:26.665486+00:00
43B3F24E6895475BA3EA1CD00FA74CE0|YL6807633|ZA04CBH0205010303704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YL6807633|ZA04CBH0205010303704|H6,43B3F24E6895475BA3EA1CD00FA74CE0|YL6807633|ZA04CBH0205010303704,2025-12,H6,,0.0,purchase_amount_sum_last_6m_asof_cutoff,attention,Attention,multi_recall_union_top10|manufacturer_worklist_fill_observation,multi_recall_union_top10|manufacturer_worklist_fill_observation,0,2026-07-09T06:46:26.665486+00:00
43B3F24E6895475BA3EA1CD00FA74CE0|YL6807633|ZA04CBH0205010303704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YL6807633|ZA04CBH0205010303704|H12,43B3F24E6895475BA3EA1CD00FA74CE0|YL6807633|ZA04CBH0205010303704,2025-12,H12,,1250.0,purchase_amount_sum_last_12m_asof_cutoff,attention,Attention,multi_recall_union_top10|manufacturer_worklist_fill_observation,multi_recall_union_top10|manufacturer_worklist_fill_observation,0,2026-07-09T06:46:26.665486+00:00
