tenant_id,hospital_code,hospital_display_name,risk_entity_count,high_risk_count
default_tenant,YL006583709,YL006583709,3,0
default_tenant,YL006585460,YL006585460,3,0
default_tenant,YL006585533,YL006585533,3,0
default_tenant,YL130224,YL130224,1,0
default_tenant,YL130649,YL130649,3,0
default_tenant,YL130776,YL130776,1,0
default_tenant,YL130782,YL130782,1,0
default_tenant,YL130872,YL130872,1,0
default_tenant,YL130929,YL130929,2,0
default_tenant,YL131040,YL131040,3,0
default_tenant,YL131060,YL131060,2,0
default_tenant,YL131073,YL131073,1,0
default_tenant,YL131421,YL131421,1,0
default_tenant,YL131456,YL131456,2,0
default_tenant,YL131571,YL131571,2,0
default_tenant,YL131708,YL131708,1,0
default_tenant,YL131948,YL131948,3,0
default_tenant,YL132049,YL132049,2,0
default_tenant,YL132056,YL132056,2,0
default_tenant,YL132301,YL132301,1,0
default_tenant,YL132590,YL132590,1,1
default_tenant,YL132591,YL132591,3,0
default_tenant,YL132643,YL132643,3,0
default_tenant,YL132685,YL132685,1,0
default_tenant,YL132961,YL132961,1,0
default_tenant,YL133067,YL133067,3,0
default_tenant,YL133556,YL133556,2,0
default_tenant,YL133616,YL133616,1,0
default_tenant,YL133645,YL133645,1,0
default_tenant,YL133663,YL133663,1,0
default_tenant,YL133736,YL133736,1,0
default_tenant,YL134078,YL134078,3,0
default_tenant,YL134147,YL134147,1,0
default_tenant,YL134690,YL134690,3,0
default_tenant,YL134872,YL134872,3,0
default_tenant,YL134901,YL134901,3,0
default_tenant,YL135604,YL135604,2,0
default_tenant,YL135681,YL135681,3,0
default_tenant,YL135785,YL135785,1,0
default_tenant,YL135862,YL135862,3,0
default_tenant,YL136073,YL136073,3,0
default_tenant,YL136157,YL136157,2,0
default_tenant,YL136212,YL136212,3,0
default_tenant,YL136313,YL136313,1,0
default_tenant,YL136352,YL136352,1,0
default_tenant,YL136573,YL136573,3,0
default_tenant,YL136702,YL136702,1,0
default_tenant,YL136868,YL136868,3,0
default_tenant,YL136982,YL136982,1,0
default_tenant,YL137144,YL137144,3,0
default_tenant,YL137380,YL137380,3,0
default_tenant,YL137408,YL137408,1,0
default_tenant,YL137562,YL137562,3,0
default_tenant,YL137984,YL137984,3,0
default_tenant,YL140316,YL140316,3,0
default_tenant,YL140711,YL140711,2,0
default_tenant,YL141826,YL141826,3,0
default_tenant,YL141909,YL141909,1,0
default_tenant,YL142287,YL142287,3,0
default_tenant,YL142386,YL142386,3,0
default_tenant,YL142498,YL142498,2,0
default_tenant,YL150232,YL150232,1,0
default_tenant,YL150425,YL150425,1,0
default_tenant,YL150710,YL150710,3,0
default_tenant,YL151043,YL151043,3,0
default_tenant,YL151094,YL151094,3,0
default_tenant,YL151173,YL151173,3,0
default_tenant,YL151222,YL151222,3,0
default_tenant,YL151570,YL151570,3,0
default_tenant,YL151588,YL151588,3,0
default_tenant,YL151786,YL151786,3,0
default_tenant,YL151918,YL151918,1,0
default_tenant,YL152108,YL152108,1,0
default_tenant,YL152814,YL152814,3,0
default_tenant,YL152928,YL152928,3,0
default_tenant,YL153064,YL153064,3,0
default_tenant,YL153133,YL153133,1,0
default_tenant,YL153262,YL153262,3,0
default_tenant,YL153534,YL153534,3,0
default_tenant,YL153681,YL153681,3,0
default_tenant,YL153997,YL153997,3,0
default_tenant,YL210443,YL210443,1,0
default_tenant,YL210782,YL210782,1,0
default_tenant,YL211034,YL211034,2,0
default_tenant,YL211244,YL211244,2,0
default_tenant,YL2114449,YL2114449,3,0
default_tenant,YL2118138,YL2118138,1,0
default_tenant,YL212443,YL212443,2,0
default_tenant,YL212809,YL212809,1,0
default_tenant,YL212932,YL212932,2,0
default_tenant,YL213201,YL213201,3,0
default_tenant,YL213799,YL213799,1,0
default_tenant,YL214277,YL214277,3,0
default_tenant,YL214375,YL214375,3,0
default_tenant,YL214397,YL214397,2,0
default_tenant,YL220142,YL220142,1,0
default_tenant,YL220183,YL220183,3,0
default_tenant,YL220273,YL220273,1,0
default_tenant,YL220288,YL220288,3,0
default_tenant,YL220306,YL220306,1,0
default_tenant,YL220445,YL220445,1,0
default_tenant,YL220487,YL220487,3,0
default_tenant,YL220526,YL220526,1,0
default_tenant,YL220530,YL220530,1,0
